사용월,호선명,역ID,지하철역,승차승객수,하차승객수,작업일시
2021-08,1호선,1,서울역,"938,002","893,346",2021-09-03 10:03:14
2021-08,1호선,10,동묘앞,"229,111","235,014",2021-09-03 10:03:14
2021-08,1호선,2,시청,"448,993","442,944",2021-09-03 10:03:14
2021-08,1호선,3,종각,"717,771","691,340",2021-09-03 10:03:14
2021-08,1호선,4,종로3가,"594,464","552,475",2021-09-03 10:03:14
2021-08,1호선,5,종로5가,"506,689","500,888",2021-09-03 10:03:14
2021-08,1호선,6,동대문,"274,678","260,656",2021-09-03 10:03:14
2021-08,1호선,7,신설동,"319,277","316,122",2021-09-03 10:03:14
2021-08,1호선,8,제기동,"410,688","422,072",2021-09-03 10:03:14
2021-08,1호선,9,청량리(서울시립대입구),"491,117","495,034",2021-09-03 10:03:14
2021-08,2호선,11,시청,"471,351","451,566",2021-09-03 10:03:14
2021-08,2호선,12,을지로입구,"818,120","823,789",2021-09-03 10:03:14
2021-08,2호선,13,을지로3가,"457,508","452,792",2021-09-03 10:03:14
2021-08,2호선,14,을지로4가,"281,001","277,892",2021-09-03 10:03:14
2021-08,2호선,15,동대문역사문화공원(DDP),"266,900","295,930",2021-09-03 10:03:14
2021-08,2호선,16,신당,"325,218","339,706",2021-09-03 10:03:14
2021-08,2호선,17,상왕십리,"326,735","319,513",2021-09-03 10:03:14
2021-08,2호선,18,왕십리(성동구청),"357,915","294,289",2021-09-03 10:03:14
2021-08,2호선,19,한양대,"140,076","142,898",2021-09-03 10:03:14
2021-08,2호선,20,뚝섬,"480,262","516,229",2021-09-03 10:03:14
2021-08,2호선,21,성수,"789,889","863,896",2021-09-03 10:03:14
2021-08,2호선,22,건대입구,"794,727","850,534",2021-09-03 10:03:14
2021-08,2호선,23,구의(광진구청),"543,474","540,867",2021-09-03 10:03:14
2021-08,2호선,24,강변(동서울터미널),"720,011","704,772",2021-09-03 10:03:14
2021-08,2호선,25,잠실나루,"317,919","312,246",2021-09-03 10:03:14
2021-08,2호선,26,잠실(송파구청),"1,539,356","1,514,327",2021-09-03 10:03:14
2021-08,2호선,27,잠실새내,"477,888","480,507",2021-09-03 10:03:14
2021-08,2호선,28,종합운동장,"153,882","164,855",2021-09-03 10:03:14
2021-08,2호선,29,삼성(무역센터),"1,076,280","1,077,253",2021-09-03 10:03:14
2021-08,2호선,30,선릉,"1,181,228","1,048,553",2021-09-03 10:03:14
2021-08,2호선,31,역삼,"1,053,541","1,154,897",2021-09-03 10:03:14
2021-08,2호선,32,강남,"1,874,711","1,819,150",2021-09-03 10:03:14
2021-08,2호선,33,교대(법원.검찰청),"734,499","826,824",2021-09-03 10:03:14
2021-08,2호선,34,서초,"467,928","445,756",2021-09-03 10:03:14
2021-08,2호선,35,방배,"354,836","376,549",2021-09-03 10:03:14
2021-08,2호선,36,사당,"810,975","877,492",2021-09-03 10:03:14
2021-08,2호선,37,낙성대(강감찬),"648,440","633,902",2021-09-03 10:03:14
2021-08,2호선,38,서울대입구(관악구청),"1,121,312","1,105,337",2021-09-03 10:03:14
2021-08,2호선,39,봉천,"564,579","530,831",2021-09-03 10:03:14
2021-08,2호선,40,신림,"1,503,604","1,467,939",2021-09-03 10:03:14
